scpId,href,name,englishRating,englishDate,englishAuthor,englishAuthorKarma,spanishRating,spanishDate,spanishAuthor,spanishAuthorKarma,original entropy,translated entropy
SCP-ES-053,/scp-es-053,Mother and ███,+3,17 Jul 2017 09:54,SangreDeReptil,very high,+14,06 May 2014 10:19,Dr Reach,guru,4.942418286499617,5.100161996507488
SCP-ES-047,/scp-es-047,"The ""M"" Typewriter",+2,02 Feb 2018 04:50,D-Stro,none,+7,27 Apr 2014 22:37,Dr Drawn,medium,5.369474434083095,5.310754054495654
SCP-ES-045,/scp-es-045,Ana's Doll,+4,17 Jul 2017 09:48,SangreDeReptil,very high,+8,29 Nov 2013 17:35,DrCastillo,high,5.246166695419726,5.380133054425051
SCP-ES-041,/scp-es-041,The Great Green God,+5,14 Mar 2018 13:42,Yorick1,guru,+10,11 May 2014 14:46,Doctor Von Braun,very high,5.764308492009585,5.977190160499994
SCP-ES-040,/scp-es-040,Playing with the Attraction,+2,03 Jul 2018 16:53,Yorick1,guru,+6,02 Jun 2016 15:40,LazyLasagne,guru,5.665725576449637,5.59552922735559
SCP-ES-039,/scp-es-039,Satellipeople,+2,30 Oct 2018 16:01,morhadow,guru,+8,17 Mar 2018 11:16,Dr Reach,guru,6.228303362592379,6.222953641007157
SCP-ES-038,/scp-es-038,The Bussinesman,+4,26 Oct 2018 19:07,RobinDrake3,very high,+15,19 Oct 2018 18:51,RobinDrake3,very high,5.856712677143651,5.830131822086635
SCP-ES-032,/scp-es-032,Anomalous Rain,+4,17 Jul 2017 09:40,SangreDeReptil,very high,+10,23 Dec 2013 03:42,DrCastillo,high,4.959542058154545,5.067413489233227
SCP-ES-030,/scp-es-030,The Queen of the Hill,+1,26 Jun 2018 16:29,Yorick1,guru,+15,17 Apr 2015 00:56,DrCastillo,high,5.599596515948862,5.58629125784196
SCP-ES-029,/scp-es-029,Massive Mechanical Obitus,+5,11 Apr 2019 22:27,RevenantHeimdall,very high,+18,08 Jan 2016 00:53,RevenantHeimdall,very high,6.340376617591186,6.336938401281214
SCP-ES-019,/scp-es-019,Apocalyptic Headphones,+2,18 Jun 2018 22:43,Ziakial,medium,+17,11 Apr 2014 01:35,DrCastillo,high,5.677908555953014,5.762730434139404
SCP-ES-018,/scp-es-018,The Glance of a Girl,+2,04 Feb 2018 04:06,RevenantHeimdall,very high,+17,31 Mar 2015 14:43,Dr Reach,guru,4.407639274498637,4.3824537502262135
SCP-ES-015,/scp-es-015,Deadly Pill of the New Life,+4,17 Jul 2017 09:29,SangreDeReptil,very high,+10,21 Nov 2014 14:34,arkaneark,medium,5.128316763613171,5.216830961712038
SCP-ES-013,/scp-es-013,Anomalous Pen,+1,06 Jan 2019 23:40,Jakuwoski,very high,+12,24 Dec 2014 18:47,Dra Lupus,low,5.139400321355785,5.224240856620964
SCP-ES-012,/scp-es-012,The Box of the Creators,+2,01 Jul 2018 19:08,Yorick1,guru,+19,02 Apr 2014 01:44,VanDerGauss,high,5.8195207209131965,5.8035548548482305
SCP-ES-001,/scp-es-001,Awaiting De-classification [Blocked],,23 Mar 2019 12:18,morhadow,guru,,09 Jan 2016 15:35,Investigador Mallea,high,4.295020861691567,4.13907321177141
