scpId,href,name,englishRating,englishDate,englishAuthor,englishAuthorKarma,germanRating,germanDate,germanAuthor,germanAuthorKarma,Original Entropy,Translated Entropy
SCP-077-DE,/scp-077-de,The Black Widower,+16,26 Mar 2017 17:40,TPS-Geronam,very high,+12,12 Jul 2016 11:46,Rikjard Regreps,very high,5.655845397095383,5.512031629036763
SCP-066-DE,/scp-066-de,The little Spellbook,+12,14 Feb 2017 09:28,Dr_Grom,guru,"+19,+19,+19,+19",08 Sep 2016 21:13,Dr_Grom,guru,5.619205508291554,5.509769742771544
SCP-058-DE,/scp-058-de,Peaceful Zombies,+1,25 Oct 2017 10:11,Dr_Grom,guru,"+9,+9,+9,+9",08 Jun 2017 10:46,Dr_Grom,guru,6.471712358364724,6.203694090311018
SCP-062-DE,/scp-062-de,The Ghost of War,+11,03 Feb 2017 10:29,Dr_Grom,guru,"+8,+8,+8,+8",13 Apr 2016 12:33,Dr_Grom,guru,5.573646560545401,5.524778603948322
SCP-042-DE,/scp-042-de,Avoid Containment,+6,24 Apr 2017 10:33,Doctor-Chaos,none,"+15,+15,+15,+15",27 Feb 2017 09:49,Doctor-Chaos,none,5.81878448167122,5.478007562270957
SCP-034-DE,/scp-034-de,Shower of dread,+2,01 Sep 2017 07:07,Dr_Grom,guru,"+14,+14,+14,+14",06 Apr 2016 10:35,Dr_Grom,guru,5.951651780670952,5.683479333583723
SCP-028-DE,/scp-028-de,Sonderkommando for the paranormal,+7,04 Jul 2018 08:22,Dr_Grom,guru,"+13,+13,+13,+13",02 Jul 2017 21:48,Dr_Grom,guru,5.875897900202539,5.650075278682074
SCP-023-DE,/scp-023-de,Illusion-Contact Lenses,+8,16 Jan 2018 11:31,Rikjard Regreps,very high,+23,08 Jul 2016 19:52,Rikjard Regreps,very high,5.548351504491501,5.457465420407712
SCP-018-DE,/scp-018-de,The Permit,+12,03 Feb 2017 08:34,Dr_Grom,guru,"+16,+16,+16,+16",18 Oct 2016 10:47,Dr_Grom,guru,5.503552610481339,5.371233658250596
SCP-017-DE,/scp-017-de,R.T.I. Grizzly A1,+5,05 Feb 2017 12:32,Dr_Grom,guru,"+10,+10,+10,+10",19 Sep 2016 14:38,Dr_Grom,guru,5.924350801244077,5.626922268679459
SCP-015-DE,/scp-015-de,Dr. Duck,+3,19 Sep 2018 07:29,Dr_Grom,guru,+18,15 Aug 2016 12:47,ThePencilwriter,very high,6.302999453607004,5.901005096300308
SCP-011-DE,/scp-011-de,Hello!,"+37,+37,+37,+37",09 Feb 2017 15:48,Dr_Grom,guru,+86,19 Sep 2016 13:13,Dr_Grom,guru,4.523667520203825,3.971350615605152
